F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Core\ExxerAI.Domain\Operations\CancellationAwareResult.cs:82 | Class: CancellationAwareResult | Method: WrapCancellationAware | Return: Task<Result>
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:236 | Class: GetPendingTasksAsyncTests | Method: Should_ReturnFailure_When_InvalidMaxCountProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:254 | Class: GetAgentTasksAsyncTests | Method: Should_ReturnAgentTasks_When_ValidAgentIdProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:273 | Class: GetAgentTasksAsyncTests | Method: Should_ReturnFilteredTasks_When_StatusFilterProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:292 | Class: GetAgentTasksAsyncTests | Method: Should_ReturnFailure_When_EmptyAgentIdProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:312 | Class: UpdateTaskStatusAsyncTests | Method: Should_ReturnSuccess_When_ValidParametersProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:330 | Class: UpdateTaskStatusAsyncTests | Method: Should_ReturnFailure_When_EmptyTaskIdProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:348 | Class: UpdateTaskStatusAsyncTests | Method: Should_ReturnFailure_When_TaskNotFound | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:369 | Class: AssignTaskToAgentAsyncTests | Method: Should_ReturnSuccess_When_ValidParametersProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:387 | Class: AssignTaskToAgentAsyncTests | Method: Should_ReturnFailure_When_EmptyTaskIdProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:405 | Class: AssignTaskToAgentAsyncTests | Method: Should_ReturnFailure_When_EmptyAgentIdProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:423 | Class: AssignTaskToAgentAsyncTests | Method: Should_ReturnFailure_When_TaskAlreadyAssigned | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:444 | Class: CompleteTaskAsyncTests | Method: Should_ReturnSuccess_When_ValidTaskIdProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:462 | Class: CompleteTaskAsyncTests | Method: Should_ReturnSuccess_When_NoOutputDataProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:479 | Class: CompleteTaskAsyncTests | Method: Should_ReturnFailure_When_TaskNotInProgress | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:500 | Class: FailTaskAsyncTests | Method: Should_ReturnSuccess_When_ValidParametersProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:521 | Class: FailTaskAsyncTests | Method: Should_ReturnFailure_When_InvalidErrorMessageProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:541 | Class: CancelTaskAsyncTests | Method: Should_ReturnSuccess_When_ValidTaskIdProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:558 | Class: CancelTaskAsyncTests | Method: Should_ReturnFailure_When_TaskCannotBeCancelled | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:578 | Class: GetOverdueTasksAsyncTests | Method: Should_ReturnOverdueTasks_When_Called | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:596 | Class: GetOverdueTasksAsyncTests | Method: Should_ReturnEmptyList_When_NoOverdueTasks | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\TaskServiceTests.cs:615 | Class: GetOverdueTasksAsyncTests | Method: CreateValidAgentTask | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceImplementationTests.cs:40 | Class: AgentServiceImplementationTests | Method: CreateAgentAsync_Should_ReturnFailure_When_NameIsEmpty | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceImplementationTests.cs:54 | Class: AgentServiceImplementationTests | Method: CreateAgentAsync_Should_ReturnSuccess_When_ValidParametersProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceImplementationTests.cs:79 | Class: AgentServiceImplementationTests | Method: GetAgentAsync_Should_ReturnFailure_When_AgentIdIsEmpty | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceImplementationTests.cs:90 | Class: AgentServiceImplementationTests | Method: GetAllAgentsAsync_Should_ReturnSuccess_When_AgentsExist | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceImplementationTests.cs:110 | Class: AgentServiceImplementationTests | Method: AssignTaskAsync_Should_ReturnFailure_When_AgentIdIsEmpty | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceImplementationTests.cs:121 | Class: AgentServiceImplementationTests | Method: AssignTaskAsync_Should_ReturnSuccess_When_ValidParameters | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceImplementationTests.cs:146 | Class: AgentServiceImplementationTests | Method: DeleteAgentAsync_Should_ReturnFailure_When_AgentIdIsEmpty | Return: Task
